Version,Date,Duration,,,
0.9,12.09.2014,98,,Avg. Duration,"48,58 days"
1.0,19.12.2014,91,,,
1.1,20.03.2015,164,,,
1.2,31.08.2015,53,,,
1.3,23.10.2015,49,,,
2.0,11.12.2015,35,,,
2.1,15.01.2016,49,,,
2.1.1,22.01.2016,7,,,
2.1.2,29.01.2016,7,,,
2.2,04.03.2016,22,,,
2.2.1,09.03.2016,5,,,
2.2.2,12.03.2016,3,,,
2.2.3,17.03.2016,5,,,
2.3,26.03.2016,76,,,
2.3.1,09.04.2016,14,,,
2.4,10.06.2016,76,,,
2.4.1,30.06.2016,20,,,
2.5,25.08.2016,120,,,
2.6,23.12.2016,29,,,
